Type error-  
Type error-  
Type error-  
Type error-  
Type error-  
Type error-  
Type error- DepressionError 
Type error- IamGodError 
Type error- IamGodError 
Type error- DrunkError 
Type error- IamGodError 
Type error- CarCrashError 
Type error- CarCrashError 
Type error- SuicideError 
Type error- GluttonyError 
Type error- IamGodError 
Type error- CarCrashError 
Type error- SuicideError 
Type error- CarCrashError 
Type error- SuicideError 
Type error- DepressionError 
Type error- IamGodError 
Type error- DrunkError 
Type error- DepressionError 
Type error- DepressionError 
Type error- DepressionError 
Type error- CarCrashError 
Type error- GluttonyError 
Type error- SuicideError 
Type error- DepressionError 
Type error- IamGodError 
